Header,Content,acronym,Related_To,Synonym,Is_Synonym,regex_keys
historical bias,"A type ofbiasthat already exists in the world and has
made its way into a dataset. These biases have a tendency to reflect existing
cultural stereotypes, demographic inequalities, and prejudices against certain
social groups. For example, consider aclassification modelthat
predicts whether or not a loan applicant will default on their loan, which was
trained on historical loan-default data from the 1980s from local banks in two
different communities. If past applicants from Community A were six times more
likely to default on their loans than applicants from Community B, the model
might learn a historical bias resulting in the model being less likely to
approve loans in Community A, even if the historical conditions that resulted
in that community's higher default rates were no longer relevant. ",,"['class', 'classification model', 'condition', 'graph', 'model']",,false,"(historical(\s|-)?bia|\s(\s|\.|\,))"
in-set condition,"In adecision tree, aconditionthat tests for the presence of one item in a set of items.
For example, the following is an in-set condition: During inference, if the value of the house-stylefeatureistudororcolonialorcape, then this condition evaluates to Yes. If
the value of the house-style feature is something else (for example,ranch),
then this condition evaluates to No. In-set conditions usually lead to more efficient decision trees than
conditions that testone-hot encodedfeatures. ",,"['condition', 'decision tree', 'feature', 'inference', 'items', 'test']",,false,"(in(\s|-)?set(\s|-)?condit|\s(\s|\.|\,))"
Deep Q-Network,"In Q-learning, a deep neural network that predicts Q-functions. Critic is a synonym for Deep Q-Network.",DQN,"['critic', 'neural network', 'Q-function', 'Q-learning']",,false,"(Deep(\s|-)?Q(\s|-)?Network|\sDQN(\s|\.|\,)|\s(\s|\.|\,))"
epoch,"A full training pass over the entire training set such that each examplehas been processed once. An epoch represents N batch size training iterations, where N is the
total number of examples. ",,"['batch', 'batch size', 'instance', 'iteration', 'training', 'training set']",,false,"(epoch|\s(\s|\.|\,))"
MNIST,"A public-domain dataset compiled by LeCun, Cortes, and Burges containing
60,000 images, each image showing how a human manually wrote a particular
digit from 0–9. Each image is stored as a 28x28 array of integers, where
each integer is a grayscale value between 0 and 255, inclusive. MNIST is a canonical dataset for machine learning, often used to test new
machine learning approaches. For details, seeThe MNIST Database of Handwritten Digits.",,"['machine learning', 'test']",,false,"(MNIST|\s(\s|\.|\,))"
Markov decision process (MDP),"A graph representing the decision-making model where decisions
(oractions) are taken to navigate a sequence ofstatesunder the assumption that theMarkov propertyholds. Inreinforcement learning, these transitions
between states return a numericalreward.",,"['action', 'graph', 'Markov property', 'model', 'return', 'reward', 'state']",,false,"(Markov(\s|-)?decision(\s|-)?process(\s|-)?|\s(\s|\.|\,))"
Log Loss,The loss function used in binary logistic regression.,,"['logistic regression', 'loss', 'loss function']",,false,"(Log(\s|-)?Loss|\s(\s|\.|\,))"
axis-aligned condition,"In adecision tree, aconditionthat involves only a singlefeature. For example, if area
is a feature, then the following is an axis-aligned condition: Contrast withoblique condition. ",,"['condition', 'decision tree', 'feature', 'oblique condition']",,false,"(axis(\s|-)?aligned(\s|-)?condit|\s(\s|\.|\,))"
incompatibility of fairness metrics,"The idea that some notions of fairness are mutually incompatible and
cannot be satisfied simultaneously. As a result, there is no single
universalmetricfor quantifying fairness
that can be applied to all ML problems. While this may seem discouraging, incompatibility of fairness metrics
doesn't imply that fairness efforts are fruitless. Instead, it suggests
that fairness must be defined contextually for a given ML problem, with
the goal of preventing harms specific to its use cases. See""On the
(im)possibility of fairness""for a more detailed discussion of this topic.",,"['fairness metric', 'metric', 'retrieval-augmented generation']",,false,"(incompatibility(\s|-)?of(\s|-)?fairness(\s|-)?metric|\s(\s|\.|\,))"
holdout data,"Examplesintentionally not used (""held out"") during training.
Thevalidation datasetandtest datasetare examples of holdout data. Holdout data
helps evaluate your model's ability to generalize to data other than the
data it was trained on. The loss on the holdout set provides a better
estimate of the loss on an unseen dataset than does the loss on the
training set.",,"['loss', 'model', 'test', 'training', 'training set', 'validation']",,false,"(holdout(\s|-)?data|\s(\s|\.|\,))"
hinge loss,A family of loss functions for classification designed to find the decision boundary as distant as possible from each training example - thus maximizing the margin between examples and the boundary.,,"['binary classification', 'class', 'decision boundary', 'label', 'loss', 'loss function', 'model', 'squared hinge loss', 'training', 'Tensor Processing Unit']",,false,"(hinge(\s|-)?los|\s(\s|\.|\,))"
individual fairness,"A fairness metric that checks whether similar individuals are classified
similarly. For example, Brobdingnagian Academy might want to satisfy
individual fairness by ensuring that two students with identical grades
and standardized test scores are equally likely to gain admission. Note that individual fairness relies entirely on how you define ""similarity""
(in this case, grades and test scores), and you can run the risk of
introducing new fairness problems if your similarity metric misses important
information (such as the rigor of a student's curriculum). See""Fairness Through
Awareness""for a more detailed discussion of individual fairness.",,"['class', 'fairness metric', 'metric', 'test']",,false,"(individual(\s|-)?fairnes|\s(\s|\.|\,))"
inference,"In machine learning, the process of making predictions by
applying a trained model tounlabeled examples. Inference has a somewhat different meaning in statistics.
See theWikipedia article on statistical inferencefor details.",,"['label', 'labeled example', 'machine learning', 'model', 'prediction', 'unlabeled example']",,false,"(inference|\s(\s|\.|\,))"
encoder,"In general, any ML system that converts from a raw, sparse, or external
representation into a more processed, denser, or more internal representation. Encoders are often a component of a larger model, where they are frequently
paired with adecoder. SomeTransformerspair encoders with decoders, though other Transformers use only the encoder
or only the decoder. Some systems use the encoder's output as the input to a classification or
regression network. Insequence-to-sequence tasks, an encoder
takes an input sequence and returns an internal state (a vector). Then, thedecoderuses that internal state to predict the next sequence. Refer toTransformerfor the definition of an encoder in
the Transformer architecture. ",,"['class', 'decoder', 'model', 'representation', 'return', 'sequence-to-sequence task', 'state', 'task', 'Transformer', 'vector', 'Tensor Processing Unit']",,false,"(encoder|\s(\s|\.|\,))"
k-fold cross validation,"An algorithm used in model validation and testing for predicting a model's ability to generalize to new data. 
The k in k-fold refers to the number of equal groups you divide a dataset's examples into; that is, you train
and test your model k times. For each round of training and testing, a
different group is the test set, and all remaining groups become the training
set. After k rounds of training and testing, you calculate the mean and
standard deviation of the chosen test metric(s). For example,Mean Squared Error (MSE)might
be the most meaningful metric for a linear regression model. Therefore, you
would find the mean and standard deviation of the MSE across all four rounds.",,"['linear', 'linear regression', 'Mean Squared Error (MSE)', 'metric', 'model', 'regression model', 'test', 'test set', 'training']",,false,"(k(\s|-)?fold(\s|-)?cross(\s|-)?validat|\s(\s|\.|\,))"
loss aggregator,"A type of machine learning algorithm that
improves the performance of a modelby combining the predictions of multiple models and
using those predictions to make a single prediction. As a result,
a loss aggregator can reduce the variance of the predictions and
improve the accuracy of the predictions.",,"['accuracy', 'loss', 'machine learning', 'model', 'performance', 'prediction']",,false,"(loss(\s|-)?aggregator|\s(\s|\.|\,))"
auto-regressive model,"Amodelthat infers a prediction based on its own previous
predictions. For example, auto-regressive language models predict the nexttokenbased on the previously predicted tokens.
AllTransformer-basedlarge language modelsare auto-regressive. In contrast,GAN-based image models are usually not auto-regressive
since they generate an image in a single forward-pass and not iteratively in
steps. However, certain image generation modelsareauto-regressive because
they generate an image in steps. ",,"['language model', 'large language model', 'model', 'prediction', 'step', 'token', 'Transformer', 'intersection over union']",,false,"(auto(\s|-)?regressive(\s|-)?model|\s(\s|\.|\,))"
Parameter Server (PS),"A job that keeps track of a model'sparametersin a
distributed setting. ",,"['model', 'parameter']",,false,"(Parameter(\s|-)?Server(\s|-)?|\s(\s|\.|\,))"
Flaxformer,"An open-source Transformer library,
built on Flax, designed primarily for natural language processing
and multimodal research.",,"['Flax', 'Transformer']",,false,"(Flaxformer|\s(\s|\.|\,))"
TPU resource,"A TPU entity on Google Cloud that you create, manage, or consume. For
example,TPU nodesandTPU typesare
TPU resources.",,"['TPU node', 'TPU type', 'Tensor Processing Unit']",,false,"(TPU(\s|-)?resource|\s(\s|\.|\,))"
labeled example,"An example that contains one or morefeaturesand alabel. For example, the following table shows three
labeled examples from a house valuation model, each with three features
and one label: Insupervised machine learning,
models train on labeled examples and make predictions onunlabeled examples. Contrast labeled example with unlabeled examples. ",,"['feature', 'label', 'machine learning', 'model', 'prediction', 'supervised machine learning', 'unlabeled example']",,false,"(labeled(\s|-)?example|\s(\s|\.|\,))"
training,"The process of determining the ideal parameters(weights and
biases) comprising amodel. During training, a system reads in examplesand gradually adjusts parameters. Training uses each
example anywhere from a few times to billions of times.",,"['model', 'parameter', 'weight']",,false,"(training|\s(\s|\.|\,))"
logistic regression,"A type of regression model that predicts a probability.
Logistic regression models have the following characteristics: For example, consider a logistic regression model that calculates the
probability of an input email being either spam or not spam.
During inference, suppose the model predicts 0.72. Like any regression model, a logistic regression model predicts a number.",,"['binary classification', 'class', 'inference', 'model', 'regression model', 'step']",,false,"(logistic(\s|-)?regress|\s(\s|\.|\,))"
ensemble,"A collection of models trained independently whose predictions
are averaged or aggregated. In many cases, an ensemble produces better
predictions than a single model. For example, arandom forestis an ensemble built from multipledecision trees. Note that not alldecision forestsare ensembles.",,"['decision forest', 'decision tree', 'model', 'prediction', 'random forest', 'retrieval-augmented generation']",,false,"(ensemble|\s(\s|\.|\,))"
loss curve,A plot of loss as a function of the number of training iterations. Loss curves can help you determine when your model is converging or overfitting.,,"['generalization', 'generalization curve', 'iteration', 'loss', 'model', 'overfitting', 'training']",,false,"(loss(\s|-)?curve|\s(\s|\.|\,))"
loss,"During the trainingof a supervised model, a measure of how far a
model's prediction is from itslabel. A loss function calculates the loss. ",,"['label', 'loss function', 'model', 'prediction', 'training']",,false,"(loss|\scost(\s|\.|\,))"
large language model (LLM),"An informal term with no strict definition that usually means alanguage modelthat has a high number ofparameters.
Some large language models contain over 100 billion parameters. You might be wondering when alanguage modelbecomes large enough to
be termed alarge language model. Currently,
there is no agreed-upon defining line for the number of parameters. Most current large language models (for example,GPT) are based onTransformerarchitecture.",LLM,"['language model', 'model', 'parameter', 'Transformer']",,false,"(large(\s|-)?language(\s|-)?model|\sLLM(\s|\.|\,)|\s(\s|\.|\,))"
layer,A set of neurons in a neural network. ,,"['configuration', 'hidden layer', 'input layer', 'neural network', 'neuron', 'output layer', 'Tensor', 'TensorFlow', 'Tensor Processing Unit']",,false,"(layer|\s(\s|\.|\,))"
average precision,"A metric for summarizing the performance of a ranked sequence of results.
Average precision is calculated by taking the average of theprecisionvalues for each relevant result (each result in
the ranked list where the recall increases relative to the previous result). See alsoArea under the PR Curve.",,"['area under the PR curve', 'metric', 'performance', 'precision', 'recall', 'intersection over union', 'retrieval-augmented generation']",,false,"(average(\s|-)?precis|\s(\s|\.|\,))"
attribute,"Synonym forfeature. In machine learning fairness, attributes often refer to
characteristics pertaining to individuals.",,"['feature', 'machine learning']",feature,true,"(attribute|\sfeature(\s|\.|\,))"
group attribution bias,"Assuming that what is true for an individual is also true for everyone in that group. The effects of group attribution bias can be exacerbated
if aconvenience samplingis used for data collection. In a non-representative sample, attributions may be made that don't reflect reality. See also out-group homogeneity bias and in-group bias. ",,"['convenience sampling', 'in-group bias', 'out-group homogeneity bias']",,false,"(group(\s|-)?attribution(\s|-)?bia|\s(\s|\.|\,))"
bag of words,"A representation of the words in a phrase or passage,
irrespective of order. For example, bag of words represents the
following three phrases identically: Each word is mapped to an index in asparse vector, where
the vector has an index for every word in the vocabulary. For example,
the phrasethe dog jumpsis mapped into a feature vector with non-zero
values at the three indexes corresponding to the wordsthe,dog, andjumps. The non-zero value can be any of the following: ",,"['feature', 'feature vector', 'representation', 'sparse vector', 'vector']",,false,"(bag(\s|-)?of(\s|-)?word|\s(\s|\.|\,))"
bagging,"A method totrainanensemblewhere each
constituentmodeltrains on a random subset of training
examplessampled with replacement.
For example, arandom forestis a collection ofdecision treestrained with bagging. The termbaggingis short forbootstrapaggregating.",,"['decision tree', 'ensemble', 'model', 'random forest', 'training']",,false,"(bagging|\s(\s|\.|\,))"
Tensor rank,Seerank (Tensor).,,"['rank (Tensor)', 'Tensor']",,false,"(Tensor(\s|-)?rank|\s(\s|\.|\,))"
linear model,"A model that assigns one weight per feature to make predictions.
(Linear models also incorporate a bias.) In contrast,
the relationship of features to predictions indeep modelsis generallynonlinear. Linear models are usually easier to train and moreinterpretablethan deep models. However,
deep models can learn complex relationships between features. Linear regression and logistic regression are two types of linear models. A linear model follows this formula: Suppose a particular example contains the following values: Linear models include not only models that use only a linear equation to
make predictions but also a broader set of models that use a linear equation
as just one component of the formula that makes predictions.
For example, logistic regression post-processes the raw
prediction (y') to produce a final prediction value between 0 and 1,
exclusively.",,"['deep model', 'feature', 'linear', 'linear regression', 'logistic regression', 'model', 'nonlinear', 'online', 'prediction', 'weight']",,false,"(linear(\s|-)?model|\s(\s|\.|\,))"
matrix factorization,"In math, a mechanism for finding the matrixes whose dot product approximates a
target matrix. Inrecommendation systems, the target matrix
often holds users' ratings onitems. For example, the target
matrix for a movie recommendation system might look something like the
following, where the positive integers are user ratings and 0
means that the user didn't rate the movie: The movie recommendation system aims to predict user ratings for
unrated movies. For example, will User 1 likeBlack Panther? One approach for recommendation systems is to use matrix
factorization to generate the following two matrixes: For example, using matrix factorization on our three users and five items
could yield the following user matrix and item matrix: The dot product of the user matrix and item matrix yields a recommendation
matrix that contains not only the original user ratings but also predictions
for the movies that each user hasn't seen.
For example, consider User 1's rating ofCasablanca, which was 5.0. The dot
product corresponding to that cell in the recommendation matrix should
hopefully be around 5.0, and it is: More importantly, will User 1 likeBlack Panther? Taking the dot product
corresponding to the first row and the third column yields a predicted
rating of 4.3: Matrix factorization typically yields a user matrix and item matrix that,
together, are significantly more compact than the target matrix. ",,"['item matrix', 'items', 'prediction', 'recommendation system', 'target', 'user matrix']",,false,"(matrix(\s|-)?factorizat|\s(\s|\.|\,))"
feedback loop,"In machine learning, a situation in which a model's predictions influence the
training data for the same model or another model. For example, a model that
recommends movies will influence the movies that people see, which will then
influence subsequent movie recommendation models. ",,"['machine learning', 'model', 'prediction', 'training']",,false,"(feedback(\s|-)?loop|\s(\s|\.|\,))"
forget gate,"The portion of aLong Short-Term Memorycell that regulates the flow of information through the cell.
Forget gates maintain context by deciding which information to discard
from the cell state. ",,"['Long Short-Term Memory', 'state']",,false,"(forget(\s|-)?gate|\s(\s|\.|\,))"
batch inference,"The process of inferring predictions on multiple unlabeled examples divided into smaller
subsets (""batches""). Batch inference can leverage the parallelization features ofaccelerator chips. That is, multiple accelerators
can simultaneously infer predictions on different batches of unlabeled
examples, dramatically increasing the number of inferences per second. ",,"['accelerator chip', 'batch', 'feature', 'inference', 'label', 'labeled example', 'prediction', 'unlabeled example', 'retrieval-augmented generation']",,false,"(batch(\s|-)?inference|\s(\s|\.|\,))"
batch size,"The number of examples in a batch e.g. if the batch size is 100, then the model processes
100 examples per iteration. ",,"['batch', 'instance', 'iteration', 'model']",,false,"(batch(\s|-)?size|\s(\s|\.|\,))"
batch normalization,Normalizing the input or output of the activation functions in a hidden layer.,,"['activation function', 'batch', 'hidden layer', 'layer', 'normalization', 'Tensor Processing Unit']",,false,"(batch(\s|-)?normalizat|\s(\s|\.|\,))"
auxiliary loss,"A loss function—used in conjunction with a neural network model's main
loss function — that helps accelerate training during the
early iterations when weights are randomly initialized. Auxiliary loss functions push effective gradients to the earlier layers. This facilitates convergence during training by combating the vanishing gradient problem. ",,"['convergence', 'gradient', 'iteration', 'layer', 'loss', 'loss function', 'model', 'neural network', 'training', 'vanishing gradient problem', 'weight']",,false,"(auxiliary(\s|-)?los|\s(\s|\.|\,))"
baseline,"A model used as a reference point for comparing how well another
model is performing. For example, a logistic regression modelmight serve as a
good baseline for a deep model. For a particular problem, the baseline helps model developers quantify
the minimal expected performance that a new model must achieve for the new
model to be useful.",,"['deep model', 'logistic regression', 'model', 'performance', 'regression model']",,false,"(baseline|\s(\s|\.|\,))"
bias (ethics/fairness),"1. Stereotyping, prejudice or favoritism towards some things, people,
or groups over others. These biases can affect collection and
interpretation of data, the design of a system, and how users interact
with a system. Forms of this type of bias include: 2. Systematic error introduced by a sampling or reporting procedure.
Forms of this type of bias include: Not to be confused with thebias termin machine learning models
orprediction bias.",,"['machine learning', 'model', 'prediction', 'prediction bias']",,false,"(bias(\s|-)?|\s(\s|\.|\,))"
agglomerative clustering,Seehierarchical clustering. ,,"['clustering', 'hierarchical clustering']",,false,"(agglomerative(\s|-)?cluster|\s(\s|\.|\,))"
model,"In general, any mathematical construct that processes input data and returns
output. Phrased differently, a model is the set of parameters and structure
needed for a system to make predictions.
Insupervised machine learning,
a model takes anexampleas input and infers apredictionas output. Within supervised machine learning,
models differ somewhat. For example: You can save, restore, or make copies of a model. Unsupervised machine learningalso
generates models, typically a function that can map an input example to
the most appropriatecluster. An algebraic function such as the following is a model: The preceding function maps input values (xandy) to
output. Similarly, a programming function like the following is also a model: A caller passes arguments to the preceding Python function, and the
Python function generates output (via thereturnstatement). Although adeep neural networkhas a very different mathematical structure than an algebraic or programming
function, a deep neural network still takes input (an example) and returns
output (a prediction). A human programmer codes a programming function manually. In contrast,
a machine learning model gradually learns the optimal parameters
during automated training. ",,"['deep neural network', 'machine learning', 'neural network', 'parameter', 'prediction', 'return', 'state', 'supervised machine learning', 'training', 'unsupervised machine learning', 'Tensor Processing Unit']",,false,"(model|\s(\s|\.|\,))"
model capacity,"The complexity of problems that a model can learn. The more complex the
problems that a model can learn, the higher the model's capacity. A model's
capacity typically increases with the number of model parameters. For a
formal definition of classifier capacity, seeVC dimension.",,"['class', 'model', 'parameter']",,false,"(model(\s|-)?capacity|\s(\s|\.|\,))"
Reinforcement Learning from Human Feedback (RLHF),"Using feedback from human raters to improve the quality of a model's responses.
For example, an RLHF mechanism can ask users to rate the quality of a model's
response with a 👍 or 👎 emoji. The system can then adjust its future responses
based on that feedback.",,"['model', 'rater']",,false,"(Reinforcement(\s|-)?Learning(\s|-)?from(\s|-)?Human(\s|-)?Feedback(\s|-)?|\s(\s|\.|\,))"
counterfactual fairness,"Afairness metricthat checks whether a classifier
produces the same result for one individual as it does for another individual
who is identical to the first, except with respect to one or moresensitive attributes. Evaluating a classifier for
counterfactual fairness is one method for surfacing potential sources of
bias in a model. ",,"['attribute', 'class', 'fairness metric', 'metric', 'model', 'sensitive attribute']",,false,"(counterfactual(\s|-)?fairnes|\s(\s|\.|\,))"
meta-learning,"A subset of machine learning that discovers or improves a learning algorithm.
A meta-learning system can also aim to train a model to quickly learn a new
task from a small amount of data or from experience gained in previous tasks.
Meta-learning algorithms generally try to achieve the following: Meta-learning is related to few-shot learning.",,"['few-shot learning', 'machine learning', 'model', 'task', 'intersection over union']",,false,"(meta(\s|-)?learn|\s(\s|\.|\,))"
accelerator chip,"A category of specialized hardware components designed to perform key
computations needed for deep learning algorithms. Accelerator chips (or justaccelerators, for short) can significantly
increase the speed and efficiency of training and inference tasks
compared to a general-purpose CPU. They are ideal for training
neural networks and similar computationally intensive tasks. Examples of accelerator chips include:",,"['inference', 'neural network', 'task', 'training']",,false,"(accelerator(\s|-)?chip|\s(\s|\.|\,))"
Saver,ATensorFlow objectresponsible for saving model checkpoints. ,,"['checkpoint', 'model', 'Tensor', 'TensorFlow']",,false,"(Saver|\s(\s|\.|\,))"
bidirectional,"A term used to describe a system that evaluates the text that bothprecedesandfollowsa target section of text. In contrast, aunidirectionalsystem only
evaluates the text thatprecedesa target section of text. For example, consider amasked language modelthat
must determine probabilities for the word or words representing the underline in
the following question: What is the _____ with you? A unidirectional language model would have to base its probabilities only
on the context provided by the words ""What"", ""is"", and ""the"". In contrast,
a bidirectional language model could also gain context from ""with"" and ""you"",
which might help the model generate better predictions.",,"['bidirectional language model', 'language model', 'masked language model', 'model', 'prediction', 'target', 'unidirectional', 'unidirectional language model']",,false,"(bidirectional|\s(\s|\.|\,))"
multi-class classification,"In supervised learning, aclassificationproblem
in which the dataset containsmore than twoclassesof labels.
For example, the labels in the Iris dataset must be one of the following
three classes: A model trained on the Iris dataset that predicts Iris type on new examples
is performing multi-class classification. In contrast, classification problems that distinguish between exactly two
classes arebinary classification models.
For example, an email model that predicts eitherspamornot spamis a binary classification model. In clustering problems, multi-class classification refers to more than
two clusters. ",,"['binary classification', 'class', 'classification model', 'clustering', 'label', 'model']",,false,"(multi(\s|-)?class(\s|-)?classificat|\smultinomial classification(\s|\.|\,))"
multimodal model,"A model whose inputs and/or outputs include more than onemodality. For example, consider a model that takes both an
image and a text caption (two modalities) asfeatures, and
outputs a score indicating how appropriate the text caption is for the image.
So, this model's inputs are multimodal and the output is unimodal. ",,"['feature', 'modality', 'model', 'Tensor Processing Unit']",,false,"(multimodal(\s|-)?model|\s(\s|\.|\,))"
multitask,"A machine learning technique in which a singlemodelis
trained to perform multipletasks. Multitask models are created by training on data that is appropriate for
each of the different tasks. This allows the model to learn to share
information across the tasks, which helps the model learn more effectively. A model trained for multiple tasks often has improved generalization abilities
and can be more robust at handling different types of data. ",,"['generalization', 'machine learning', 'model', 'task', 'training']",,false,"(multitask|\s(\s|\.|\,))"
hallucination,"The production of plausible-seeming but factually incorrect output by agenerative AImodel that purports to be making an
assertion about the real world.
For example, a generative AI model that claims that Barack Obama died in 1865
ishallucinating. ",,"['generative AI', 'model', 'Tensor Processing Unit']",,false,"(hallucinat|\sconfabulation(\s|\.|\,))"
