taxonomy_term,term_regex
Representation Fine-Tuning (Reft),representation(\s*|\-)?fine(\s*|\-)?tuning(\s*|\-)?\(reft\)
Single-Linkage Clustering,single(\s*|\-)?linkage(\s*|\-)?clustering
Forward Selection,forward(\s*|\-)?selection
Image Generation Metrics,image(\s*|\-)?generation(\s*|\-)?metric
Deep Learning,deep(\s*|\-)?learning
Metadata,metadata
Feedforward Neural Network,feedforward(\s*|\-)?neural(\s*|\-)?network
Analogical Modeling,analogical(\s*|\-)?modeling
Learning Rate,learning(\s*|\-)?rate
Pooling Layers,pooling(\s*|\-)?layer
Tokenization,tokenization
Data Preparation,data(\s*|\-)?preparation
Precision,precision
Momentum-based SGD,momentum(\s*|\-)?based(\s*|\-)?sgd
ROUGE Score,rouge(\s*|\-)?score
Edge Detection,edge(\s*|\-)?detection
Contrastive Learning Methods,contrastive(\s*|\-)?learning(\s*|\-)?method
Group Method Of Data Handling,group(\s*|\-)?method(\s*|\-)?of(\s*|\-)?data(\s*|\-)?handling
Adjusting Class Priors,adjusting(\s*|\-)?class(\s*|\-)?prior
Embedded Methods,embedded(\s*|\-)?method
CycleGAN,cyclegan
Evaluation Metrics,evaluation(\s*|\-)?metric
Retrieval Augmentation,retrieval(\s*|\-)?augmentation
Logistic Regression,logistic(\s*|\-)?regression
Reshaping,reshaping
Color Histograms,color(\s*|\-)?histogram
Regression Classifiers,regression(\s*|\-)?classifier
Speech Recognition,speech(\s*|\-)?recognition
Masked Language Models,masked(\s*|\-)?language(\s*|\-)?model
Q-Function,q(\s*|\-)?function
Image Preprocessing,image(\s*|\-)?preprocessing
Other Specialized Metrics,other(\s*|\-)?specialized(\s*|\-)?metric
DBSCAN,dbscan
Transduction,transduction
Inception,inception
Linear Classifier,linear(\s*|\-)?classifier
Spatial Dropout,spatial(\s*|\-)?dropout
Video Preprocessing,video(\s*|\-)?preprocessing
Haar-Like Features,haar(\s*|\-)?like(\s*|\-)?feature
Feature Extraction,feature(\s*|\-)?extraction
Time Series Prediction,time(\s*|\-)?series(\s*|\-)?prediction
Naive Bayes,naive(\s*|\-)?baye
Additional Layers,additional(\s*|\-)?layer
Word2Vec,word2vec
BERT (language model),bert(\s*|\-)?\(language(\s*|\-)?model\)
Precision At K,precision(\s*|\-)?at(\s*|\-)?k
Linear Activation,linear(\s*|\-)?activation
Adaptive Learning Rate,adaptive(\s*|\-)?learning(\s*|\-)?rate
Log Loss,log(\s*|\-)?los
Model Stability And Flexibility,model(\s*|\-)?stability(\s*|\-)?and(\s*|\-)?flexibility
Ensemble Averaging,ensemble(\s*|\-)?averaging
Convolutional Layer,convolutional(\s*|\-)?layer
Uniform Distribution,uniform(\s*|\-)?distribution
Mel-Frequency Cepstral Coefficients,mel(\s*|\-)?frequency(\s*|\-)?cepstral(\s*|\-)?coefficient
Ranking Metrics,ranking(\s*|\-)?metric
Recursive Feature Elimination,recursive(\s*|\-)?feature(\s*|\-)?elimination
Elastic Net,elastic(\s*|\-)?net
Machine Translation,machine(\s*|\-)?translation
Weight Decay,weight(\s*|\-)?decay
Hyperparameter Selection,hyperparameter(\s*|\-)?selection
Diffusion Model Loss,diffusion(\s*|\-)?model(\s*|\-)?los
Sampling,sampling
Data Retrieval,data(\s*|\-)?retrieval
Triplet Loss,triplet(\s*|\-)?los
Score-Based Generative Models,score(\s*|\-)?based(\s*|\-)?generative(\s*|\-)?model
Semi-Supervised Learning,semi(\s*|\-)?supervised(\s*|\-)?learning
Visualisation Techniques,visualisation(\s*|\-)?technique
Bag Of Words,bag(\s*|\-)?of(\s*|\-)?word
Flattening,flattening
Information Retrieval Metrics,information(\s*|\-)?retrieval(\s*|\-)?metric
Decoder,decoder
Deduplication,deduplication
Support Vector Machines,support(\s*|\-)?vector(\s*|\-)?machine
Model Objective,model(\s*|\-)?objective
Gaussian Noise,gaussian(\s*|\-)?noise
Encoder-Decoder,encoder(\s*|\-)?decoder
Pretrained Weights,pretrained(\s*|\-)?weight
Weight Initialization,weight(\s*|\-)?initialization
Average Pooling,average(\s*|\-)?pooling
L1-regularized SVM,l1(\s*|\-)?regularized(\s*|\-)?svm
Variational Lower Bound,variational(\s*|\-)?lower(\s*|\-)?bound
Adding Batch Dimension,adding(\s*|\-)?batch(\s*|\-)?dimension
Clustering Metrics,clustering(\s*|\-)?metric
Fully Connected Layer,fully(\s*|\-)?connected(\s*|\-)?layer
Artificial Neural Network,artificial(\s*|\-)?neural(\s*|\-)?network
Prompt Engineering,prompt(\s*|\-)?engineering
Curriculum Learning,curriculum(\s*|\-)?learning
Image Transformations,image(\s*|\-)?transformation
True Positive,true(\s*|\-)?positive
Ordinary Least Squares Regression,ordinary(\s*|\-)?least(\s*|\-)?squares(\s*|\-)?regression
Chain-Of-Thought Prompting,chain(\s*|\-)?of(\s*|\-)?thought(\s*|\-)?prompting
Parameter-Efficient Fine-Tuning,parameter(\s*|\-)?efficient(\s*|\-)?fine(\s*|\-)?tuning
Automatic Precision Training,automatic(\s*|\-)?precision(\s*|\-)?training
Stepwise Regression,stepwise(\s*|\-)?regression
Multi-Task Learning,multi(\s*|\-)?task(\s*|\-)?learning
Neural Architecture Search,neural(\s*|\-)?architecture(\s*|\-)?search
Number Of Epochs,number(\s*|\-)?of(\s*|\-)?epoch
Rectified Linear Unit (Relu),rectified(\s*|\-)?linear(\s*|\-)?unit(\s*|\-)?\(relu\)
Perplexity,perplexity
Term frequency–inverse document frequency (TF-IDF),term(\s*|\-)?frequency–inverse(\s*|\-)?document(\s*|\-)?frequency(\s*|\-)?\(tf(\s*|\-)?idf\)
Earth Mover'S Distance (Wasserstein),earth(\s*|\-)?mover's(\s*|\-)?distance(\s*|\-)?\(wasserstein\)
Text Preprocessing,text(\s*|\-)?preprocessing
Regression Loss,regression(\s*|\-)?los
Projection Pursuit,projection(\s*|\-)?pursuit
Deep Belief Networks,deep(\s*|\-)?belief(\s*|\-)?network
Jensen-Shannon Divergence,jensen(\s*|\-)?shannon(\s*|\-)?divergence
State–action–reward–state–action (SARSA),state–action–reward–state–action(\s*|\-)?\(sarsa\)
Model Cascading,model(\s*|\-)?cascading
Data Cleaning,data(\s*|\-)?cleaning
Structural Similarity Index,structural(\s*|\-)?similarity(\s*|\-)?index
Video Stabilization,video(\s*|\-)?stabilization
Stemming,stemming
Prompt Tuning,prompt(\s*|\-)?tuning
Partial Least Squares Regression,partial(\s*|\-)?least(\s*|\-)?squares(\s*|\-)?regression
Data Storage,data(\s*|\-)?storage
Regression Metrics,regression(\s*|\-)?metric
Context Window,context(\s*|\-)?window
Graph-Based Methods,graph(\s*|\-)?based(\s*|\-)?method
Data-Level Methods,data(\s*|\-)?level(\s*|\-)?method
RMSProp,rmsprop
Vanishing Gradient Problem,vanishing(\s*|\-)?gradient(\s*|\-)?problem
Inference Parameters,inference(\s*|\-)?parameter
Boosting,boosting
Dimensionality Reduction,dimensionality(\s*|\-)?reduction
True Negative,true(\s*|\-)?negative
Matthews Correlation Coefficient,matthews(\s*|\-)?correlation(\s*|\-)?coefficient
Reinforcement Learning,reinforcement(\s*|\-)?learning
Resizing,resizing
Ensemble Learning,ensemble(\s*|\-)?learning
Pattern Recognition,pattern(\s*|\-)?recognition
LLM Agents,llm(\s*|\-)?agent
Time Series Metrics,time(\s*|\-)?series(\s*|\-)?metric
Expanding Dimensions,expanding(\s*|\-)?dimension
Mean Reciprocal Rank,mean(\s*|\-)?reciprocal(\s*|\-)?rank
Object Detection,object(\s*|\-)?detection
L1-Regularized Logistic Regression,l1(\s*|\-)?regularized(\s*|\-)?logistic(\s*|\-)?regression
Polynomial Features,polynomial(\s*|\-)?feature
Model Architecture Design,model(\s*|\-)?architecture(\s*|\-)?design
Quantization,quantization
AUC-ROC,auc(\s*|\-)?roc
Generative Models,generative(\s*|\-)?model
False Negative,false(\s*|\-)?negative
Data Reduction,data(\s*|\-)?reduction
Area Under Pr Curve,area(\s*|\-)?under(\s*|\-)?pr(\s*|\-)?curve
Bhattacharyya Distance,bhattacharyya(\s*|\-)?distance
Output Layer - Regression,output(\s*|\-)?layer(\s*|\-)?(\s*|\-)?(\s*|\-)?regression
Normalization,normalization
Cohen'S Kappa,cohen's(\s*|\-)?kappa
Unit Pruning,unit(\s*|\-)?pruning
Exploding Gradient Problem,exploding(\s*|\-)?gradient(\s*|\-)?problem
Adam,adam
One-Shot Prompting,one(\s*|\-)?shot(\s*|\-)?prompting
Model Deployment,model(\s*|\-)?deployment
Parameter Optimizer,parameter(\s*|\-)?optimizer
Glove,glove
Reshape,reshape
Jaccard Index,jaccard(\s*|\-)?index
Independent Component Analysis,independent(\s*|\-)?component(\s*|\-)?analysi
Silhouette Score,silhouette(\s*|\-)?score
Hinge Loss,hinge(\s*|\-)?los
Dropout,dropout
Adaptive Schedule,adaptive(\s*|\-)?schedule
Actor-Critic Methods,actor(\s*|\-)?critic(\s*|\-)?method
Quasi-Newton Methods,quasi(\s*|\-)?newton(\s*|\-)?method
Calinski-Harabasz Index,calinski(\s*|\-)?harabasz(\s*|\-)?index
Normalization Layers,normalization(\s*|\-)?layer
K-Fold,k(\s*|\-)?fold
Huber Loss,huber(\s*|\-)?los
Balanced Random Forest,balanced(\s*|\-)?random(\s*|\-)?forest
Expectation-Maximization Algorithm,expectation(\s*|\-)?maximization(\s*|\-)?algorithm
Linguistic Features,linguistic(\s*|\-)?feature
ELMo (embeddings from language model),elmo(\s*|\-)?\(embeddings(\s*|\-)?from(\s*|\-)?language(\s*|\-)?model\)
Adversarial Loss,adversarial(\s*|\-)?los
Holdout Data,holdout(\s*|\-)?data
Brier Score,brier(\s*|\-)?score
Transforming Layers,transforming(\s*|\-)?layer
Gradient Accumulation,gradient(\s*|\-)?accumulation
Concatenate,concatenate
Group Lasso,group(\s*|\-)?lasso
Least Absolute Shrinkage and Selection Operator (LASSO),least(\s*|\-)?absolute(\s*|\-)?shrinkage(\s*|\-)?and(\s*|\-)?selection(\s*|\-)?operator(\s*|\-)?\(lasso\)
Label Encoding,label(\s*|\-)?encoding
Mean-Shift,mean(\s*|\-)?shift
Contrastive Loss,contrastive(\s*|\-)?los
Data Integration,data(\s*|\-)?integration
Grid Search,grid(\s*|\-)?search
N-Gram Features,n(\s*|\-)?gram(\s*|\-)?feature
Binning,binning
Softmax,softmax
SMOTE (Synthetic Minority Over-sampling Technique),smote(\s*|\-)?\(synthetic(\s*|\-)?minority(\s*|\-)?over(\s*|\-)?sampling(\s*|\-)?technique\)
Lemmatization,lemmatization
Model Optimization,model(\s*|\-)?optimization
Leave-One-Out,leave(\s*|\-)?one(\s*|\-)?out
Group Normalization,group(\s*|\-)?normalization
Fixed Recency,fixed(\s*|\-)?recency
Momentum-Based,momentum(\s*|\-)?based
Encoder,encoder
Noise Injection,noise(\s*|\-)?injection
Recurrent Neural Network,recurrent(\s*|\-)?neural(\s*|\-)?network
Reinforcement Learning From Human Feedback,reinforcement(\s*|\-)?learning(\s*|\-)?from(\s*|\-)?human(\s*|\-)?feedback
Precision-Recall Curve,precision(\s*|\-)?recall(\s*|\-)?curve
Early Stopping,early(\s*|\-)?stopping
Gated Recurrent Unit,gated(\s*|\-)?recurrent(\s*|\-)?unit
Generalization Curve,generalization(\s*|\-)?curve
Factor Analysis,factor(\s*|\-)?analysi
LSTM Layer,lstm(\s*|\-)?layer
Kullback-Leibler Divergence,kullback(\s*|\-)?leibler(\s*|\-)?divergence
Instance Normalization,instance(\s*|\-)?normalization
Color Space Conversion,color(\s*|\-)?space(\s*|\-)?conversion
Low-Rank Adaptability,low(\s*|\-)?rank(\s*|\-)?adaptability
Self-Organizing Map,self(\s*|\-)?organizing(\s*|\-)?map
Gini Coefficient,gini(\s*|\-)?coefficient
Value-Based Methods,value(\s*|\-)?based(\s*|\-)?method
Loss Function,loss(\s*|\-)?function
Class Weighting,class(\s*|\-)?weighting
Few-Shot Prompting,few(\s*|\-)?shot(\s*|\-)?prompting
Text Features,text(\s*|\-)?feature
HOG (Histogram of Oriented Gradients),hog(\s*|\-)?\(histogram(\s*|\-)?of(\s*|\-)?oriented(\s*|\-)?gradients\)
Fuzzy Clustering,fuzzy(\s*|\-)?clustering
Gradient Checkpointing,gradient(\s*|\-)?checkpointing
One-Hot Encoding,one(\s*|\-)?hot(\s*|\-)?encoding
Output Layer - Classification,output(\s*|\-)?layer(\s*|\-)?(\s*|\-)?(\s*|\-)?classification
Learning Automata,learning(\s*|\-)?automata
DCGAN,dcgan
Self-Attention Layer,self(\s*|\-)?attention(\s*|\-)?layer
K-Nearest Neighbor,k(\s*|\-)?nearest(\s*|\-)?neighbor
Adamw,adamw
Outlier Detection And Treatment,outlier(\s*|\-)?detection(\s*|\-)?and(\s*|\-)?treatment
Image Classification,image(\s*|\-)?classification
Principal Component Regression,principal(\s*|\-)?component(\s*|\-)?regression
Hellinger Distance,hellinger(\s*|\-)?distance
Classification Loss,classification(\s*|\-)?los
Transformer Networks,transformer(\s*|\-)?network
Mean Absolute Scaled Error,mean(\s*|\-)?absolute(\s*|\-)?scaled(\s*|\-)?error
Data Transformation,data(\s*|\-)?transformation
Conceptual Clustering,conceptual(\s*|\-)?clustering
Time Stretching,time(\s*|\-)?stretching
Count Metrics,count(\s*|\-)?metric
Random Forest,random(\s*|\-)?forest
Learning Rate Schedule,learning(\s*|\-)?rate(\s*|\-)?schedule
Deletion,deletion
Inductive Bias,inductive(\s*|\-)?bia
Active Learning,active(\s*|\-)?learning
Algorithm-Level Methods,algorithm(\s*|\-)?level(\s*|\-)?method
Hierarchical Hidden Markov Model,hierarchical(\s*|\-)?hidden(\s*|\-)?markov(\s*|\-)?model
Bootstrap Aggregating,bootstrap(\s*|\-)?aggregating
Canonical Correlation Analysis,canonical(\s*|\-)?correlation(\s*|\-)?analysi
Lazy Learning,lazy(\s*|\-)?learning
OPTICS algorithm,optics(\s*|\-)?algorithm
Re-Ranking,re(\s*|\-)?ranking
Exponential Decay,exponential(\s*|\-)?decay
Distribution And Similarity Metrics,distribution(\s*|\-)?and(\s*|\-)?similarity(\s*|\-)?metric
Denoising Diffusion Probabilistic Models,denoising(\s*|\-)?diffusion(\s*|\-)?probabilistic(\s*|\-)?model
Motion Vectors,motion(\s*|\-)?vector
Long To Wide Format,long(\s*|\-)?to(\s*|\-)?wide(\s*|\-)?format
Zero Crossing Rate,zero(\s*|\-)?crossing(\s*|\-)?rate
Adjusted R-Squared,adjusted(\s*|\-)?r(\s*|\-)?squared
Common Challenges,common(\s*|\-)?challenge
Data Indexing,data(\s*|\-)?indexing
Data Chunking,data(\s*|\-)?chunking
Local Outlier Factor,local(\s*|\-)?outlier(\s*|\-)?factor
Quadratic Classifiers,quadratic(\s*|\-)?classifier
Random Initialization,random(\s*|\-)?initialization
Learning Vector Quantization,learning(\s*|\-)?vector(\s*|\-)?quantization
Chi-Squared,chi(\s*|\-)?squared
Statistical Methods,statistical(\s*|\-)?method
(Head) Output Layer,\(head\)(\s*|\-)?output(\s*|\-)?layer
Bellman Equation,bellman(\s*|\-)?equation
Filter Methods,filter(\s*|\-)?method
Graph Neural Networks,graph(\s*|\-)?neural(\s*|\-)?network
Text Classification,text(\s*|\-)?classification
Random Oversampling,random(\s*|\-)?oversampling
Global Pooling,global(\s*|\-)?pooling
F1 Score,f1(\s*|\-)?score
Spectral Clustering,spectral(\s*|\-)?clustering
Audio Features,audio(\s*|\-)?feature
BIRCH,birch
He Initialization,he(\s*|\-)?initialization
Multinomial Naive Bayes,multinomial(\s*|\-)?naive(\s*|\-)?baye
Instance-Based Learning,instance(\s*|\-)?based(\s*|\-)?learning
GRU Layer,gru(\s*|\-)?layer
Chi-Squared Test,chi(\s*|\-)?squared(\s*|\-)?test
Layer Configuration,layer(\s*|\-)?configuration
Cosine Annealing,cosine(\s*|\-)?annealing
Binary Cross-Entropy,binary(\s*|\-)?cross(\s*|\-)?entropy
Top P,top(\s*|\-)?p
Averaged One-Dependence Estimators,averaged(\s*|\-)?one(\s*|\-)?dependence(\s*|\-)?estimator
Feature Selection,feature(\s*|\-)?selection
Data Augmentation,data(\s*|\-)?augmentation
Batch Size,batch(\s*|\-)?size
ANOVA,anova
Gradient Descent,gradient(\s*|\-)?descent
