id,level_1,level_2,level_3,level_4,level_5
81,ML Methods,Bayesian Statistics,Bayesian Network,,
82,ML Methods,Unsupervised Learning,,,
84,ML Methods,Unsupervised Learning,Association rule learning,,
85,ML Methods,Unsupervised Learning,Association rule learning,Apriori algorithm,
86,ML Methods,Unsupervised Learning,Association rule learning,Eclat algorithm,
87,ML Methods,Unsupervised Learning,Cluster analysis,,
88,ML Methods,Unsupervised Learning,Cluster analysis,BIRCH,
89,ML Methods,Unsupervised Learning,Cluster analysis,DBSCAN,
90,ML Methods,Unsupervised Learning,Cluster analysis,Expectation-maximization algorithm,
91,ML Methods,Unsupervised Learning,Cluster analysis,Fuzzy clustering,
92,ML Methods,Unsupervised Learning,Cluster analysis,Hierarchical clustering,
93,ML Methods,Unsupervised Learning,Cluster analysis,Hierarchical clustering,Single-linkage clustering
94,ML Methods,Unsupervised Learning,Cluster analysis,Hierarchical clustering,Conceptual clustering
95,ML Methods,Unsupervised Learning,Cluster analysis,k-means clustering,
96,ML Methods,Unsupervised Learning,Cluster analysis,Mean-shift,
97,ML Methods,Unsupervised Learning,Cluster analysis,k-medians,
98,ML Methods,Unsupervised Learning,Cluster analysis,OPTICS algorithm,
99,ML Methods,Unsupervised Learning,Anomaly detection,,
100,ML Methods,Unsupervised Learning,Anomaly detection,k-nearest neighbor (KNN),
101,ML Methods,Unsupervised Learning,Anomaly detection,Local outlier factor,
102,ML Methods,Unsupervised Learning,Association rule learning,FP-growth algorithm,
103,ML Methods,Artificial neural network,,,
104,ML Methods,Artificial neural network,Feedforward neural network,,
105,ML Methods,Artificial neural network,Feedforward neural network,Convolutional neural network (CNN),
106,ML Methods,Artificial neural network,Recurrent neural network (RNN),,
107,ML Methods,Artificial neural network,Recurrent neural network (RNN),Long short-term memory (LSTM),
108,ML Methods,Artificial neural network,Self-organizing map,,
109,ML Methods,Semi-supervised Learning,,,
110,ML Methods,Semi-supervised Learning,Active learning,,
111,ML Methods,Semi-supervised Learning,Generative models,,
112,ML Methods,Semi-supervised Learning,Low-density separation,,
113,ML Methods,Semi-supervised Learning,Graph-based methods,,
114,ML Methods,Semi-supervised Learning,Co-training,,
115,ML Methods,Semi-supervised Learning,Transduction,,
116,ML Methods,Deep learning,,,
117,ML Methods,Deep learning,Deep belief networks,,
118,ML Methods,Deep learning,Boltzmann machines,,
119,ML Methods,Deep learning,Recurrent neural network (RNN),,
120,ML Methods,Deep learning,Convolutional neural network (CNN),,
121,ML Methods,Deep learning,Generative models,Generative Adversarial Network (GAN),
122,ML Methods,Deep learning,Generative models,Generative Adversarial Network (GAN),Style transfer
123,ML Methods,Deep learning,Transformer Networks,,
124,ML Methods,Deep learning,Autoencoder,,
126,ML Methods,Self-Supervised Learning,,,
127,ML Methods,Self-Supervised Learning,Contrastive Learning Methods,,
128,ML Methods,Self-Supervised Learning,Masked Language Models (MLM),,
129,ML Methods,Self-Supervised Learning,self-training,,
131,ML Methods,Deep learning,Generative models,Generative Adversarial Network (GAN),DCGAN
132,ML Methods,Deep learning,Generative models,Generative Adversarial Network (GAN),CycleGAN
133,ML Methods,Deep learning,Transformer Networks,Encoder-Decoder,
134,ML Methods,Deep learning,Transformer Networks,Encoder,
135,ML Methods,Deep learning,Transformer Networks,Decoder,
136,ML Methods,Artificial neural network,Recurrent neural network (RNN),Gated recurrent unit (GRU),
137,ML Methods,Unsupervised Learning,Cluster analysis,k-means clustering,Gaussian Mixture Models
138,ML Methods,Unsupervised Learning,Cluster analysis,Spectral Clustering,
139,ML Methods,Deep learning,Convolutional neural network (CNN),Inception,
140,ML Methods,Deep learning,Convolutional neural network (CNN),ResNet,
141,ML Methods,Deep learning,Generative models,Diffusion Models,Denoising Diffusion Probabilistic Models (DDPM)
142,ML Methods,Deep learning,Generative models,Diffusion Models,Latent Diffusion Models
143,ML Methods,Deep learning,Generative models,Diffusion Models,Score-Based Generative Models
144,ML Methods,Deep learning,Convolutional neural network (CNN),SepCNN,
145,ML Methods,Deep learning,Generative models,Diffusion Models,
146,ML Methods,Advanced Training Strategies,,,
147,ML Methods,Advanced Training Strategies,Curriculum Learning,,
148,ML Methods,Advanced Training Strategies,Multi-Task Learning,,
149,ML Methods,Advanced Training Strategies,Adversarial Training,,
150,ML Methods,Advanced Training Strategies,Neural Architecture Search (NAS),,
151,ML Methods,Advanced Training Strategies,Transfer Learning,,
152,ML Methods,Unsupervised Learning,Dimensionality Reduction,FP-growth algorithm,
153,ML Methods,Dimensionality Reduction,Autoencoder,,
154,ML Methods,Unsupervised Learning,Anomaly detection,Autoencoder,
155,ML Methods,Artificial neural network,Graph Neural Networks,,
156,ML Methods,Advanced Training Strategies,Multi-Task Learning,Hard Parameter Sharing,
157,ML Methods,Unsupervised Learning,Cluster analysis,Self-organizing map,
158,ML Methods,Reinforcement learning,Value-Based Methods,,
159,ML Methods,Reinforcement learning,Actor-Critic Methods,,
160,ML Methods,Reinforcement learning,Policy-Based Methods,,
161,ML Methods,Reinforcement learning,Value-Based Methods,Q-learning,State–action–reward–state–action (SARSA)
162,ML Methods,Reinforcement learning,Value-Based Methods,Q-learning,Q-function
163,ML Methods,Reinforcement learning,Value-Based Methods,Q-learning,Bellman equation
164,ML Methods,Reinforcement learning,Policy-Based Methods,Policy Gradient Methods,
165,ML Methods,Reinforcement learning,Reinforcement learning from human feedback (RLHF),,
166,ML Methods,Deep learning,Large Language Models,,
167,ML Methods,Deep learning,Large Language Models,LLM Agents,
